provider_name,scheme_name,account_type,option_name,option_type,management_fee_pct,indirect_cost_ratio,performance_fee,transactional_cost,risk_label,risk_band,performance_1yr,performance_3yr,performance_5yr,performance_10yr,asset_allocation_json,source_url,scraped_at
HUB24,HUB24 Invest - CORE Menu,Wrap,Lonsec Managed Portfolio - Multi-Asset Balanced,Multi Sector Balanced,0.308,0.702,0.044,0.126,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Lonsec Managed Portfolio - Multi-Asset Growth,Multi Sector Growth,0.308,0.838,0.078,0.167,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Lonsec Managed Portfolio - Multi-Asset High Growth,Multi Sector High Growth,0.308,0.87,0.121,0.183,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Lonsec Retirement Managed Portfolio - Balanced,Multi Sector Balanced,0.308,0.717,0.001,0.061,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Lonsec Retirement Managed Portfolio - Conservative,Multi Sector Moderately Conservative,0.308,0.628,0.001,0.033,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Lonsec Retirement Managed Portfolio - Growth,Multi Sector Growth,0.308,0.818,0.051,0.066,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Lonsec Sustainable Managed Portfolio - Balanced,Multi Sector Balanced,0.308,0.814,0.015,0.104,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Lonsec Sustainable Managed Portfolio - Growth,Multi Sector Growth,0.308,0.937,0.021,0.117,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Lonsec Sustainable Managed Portfolio - High Growth,Multi Sector High Growth,0.308,1.041,0.023,0.123,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,MLC Premium Balanced 70 Portfolio,Multi Sector Balanced,0.318,0.708,0.042,0.049,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
